Finishing Time,ITRA Score
19:18:58,924
19:51:37,912
20:05:06,886
20:15:05,909
20:20:25,891
20:40:34,897
21:03:41,888
21:11:59,891
21:18:24,890
21:19:47,894
21:42:54,857
21:50:00,851
22:03:39,850
22:08:47,851
22:11:25,853
22:11:28,847
22:11:32,818
22:24:03,808
22:43:34,847
22:50:40,879
22:56:23,802
23:02:53,777
23:12:22,804
23:17:24,783
23:28:48,760
23:29:40,799
23:38:06,806
23:40:06,777
23:45:33,831
23:58:15,777
24:03:33,823
24:08:08,817
24:09:38,767
24:10:17,759
24:16:39,768
24:24:37,799
24:26:43,761
24:37:21,778
24:39:14,773
24:39:42,723
24:43:02,720
24:45:00,743
24:48:12,721
24:51:05,771
24:51:32,717
24:54:57,749
24:56:00,753
24:56:33,751
24:58:02,758
24:58:03,783
25:05:07,733
25:09:57,710
25:15:51,821
25:22:18,734
25:27:00,872
25:27:00,798
25:33:04,774
25:34:29,830
25:39:21,804
25:39:48,829
25:44:00,715
25:45:08,826
25:45:08,759
25:50:38,838
25:50:56,744
25:52:18,865
25:54:50,767
25:55:23,714
25:57:04,764
25:57:55,721
26:00:45,736
26:02:50,884
26:15:21,784
26:19:45,678
26:21:35,757
26:29:09,767
26:29:24,729
26:37:57,783
26:44:27,732
26:46:48,756
26:47:19,802
26:52:31,681
26:53:10,700
26:56:00,785
26:56:49,787
26:59:20,708
27:09:57,768
27:17:41,720
27:19:57,652
27:22:30,776
27:34:41,757
27:38:13,790
27:38:16,756
27:41:58,655
27:42:41,663
27:43:21,729
27:43:53,695
27:45:59,722
27:46:58,655
27:49:17,702
27:55:19,640
27:55:36,755
27:58:04,702
28:01:16,701
28:01:20,769
28:04:31,750
28:05:51,760
28:06:17,718
28:07:04,713
28:08:33,768
28:09:44,794
28:11:40,774
28:12:53,705
28:14:48,725
28:19:30,697
28:20:33,692
28:23:27,655
28:27:33,703
28:30:27,721
28:30:33,734
28:30:55,641
28:31:01,699
28:33:18,782
28:33:23,686
28:33:32,667
28:34:12,745
28:37:43,739
28:43:40,649
28:43:45,627
28:48:26,667
28:50:21,821
28:50:56,714
28:53:31,769
28:54:34,660
28:57:34,634
29:03:42,725
29:09:59,682
29:10:07,690
29:12:54,684
29:15:37,644
29:16:23,759
29:17:21,649
29:18:40,668
29:19:34,666
29:22:48,679
29:23:30,699
29:23:58,639
29:33:00,764
29:34:23,694
29:34:58,618
29:34:58,611
29:35:57,689
29:39:26,600
29:40:53,705
29:42:26,662
29:42:51,735
29:43:09,657
29:44:02,635
29:44:05,702
29:44:23,628
29:45:25,707
29:46:21,636
29:47:41,740
29:49:41,600
29:49:41,638
29:50:16,703
29:50:37,658
29:52:09,675
29:52:59,699
29:55:38,691
29:57:33,636
29:58:02,653
29:58:11,665
30:03:43,661
30:06:42,669
30:15:38,590
30:16:56,671
30:18:06,680
30:20:34,748
30:22:53,705
30:23:08,634
30:24:10,624
30:26:18,681
30:26:42,630
30:26:55,644
30:27:22,641
30:28:09,598
30:28:38,661
30:36:12,687
30:36:33,694
30:36:46,612
30:37:17,679
30:39:24,688
30:42:51,660
30:42:51,610
30:42:53,643
30:44:12,663
30:46:28,678
30:47:59,627
30:49:20,616
30:49:54,699
30:50:56,624
30:59:18,587
31:00:43,666
31:01:21,618
31:02:27,808
31:04:48,633
31:09:17,652
31:11:19,678
31:11:28,633
31:12:05,636
31:12:47,650
31:12:53,689
31:14:34,637
31:20:34,568
31:20:42,660
31:20:44,604
31:25:01,626
31:25:38,720
31:29:23,688
31:31:05,655
31:31:56,746
31:34:57,625
31:34:57,563
31:44:54,583
31:46:01,738
31:46:24,604
31:47:32,631
31:47:57,572
31:49:33,602
31:49:35,653
31:49:51,706
31:50:03,627
31:55:05,618
31:55:27,586
31:57:23,708
32:00:29,719
32:00:48,651
32:01:49,661
32:01:56,574
32:02:06,772
32:03:53,580
32:06:07,639
32:06:44,644
32:08:14,633
32:08:54,648
32:09:03,632
32:10:04,640
32:11:12,660
32:11:49,620
32:13:25,610
32:14:42,665
32:15:05,608
32:16:22,582
32:16:39,723
32:17:31,693
32:22:11,689
32:23:17,636
32:24:03,681
32:24:38,586
32:25:31,616
32:28:26,686
32:28:40,659
32:32:30,649
32:34:12,599
32:34:35,662
32:34:47,630
32:35:44,605
32:36:54,672
32:40:11,698
32:40:33,604
32:41:39,585
32:42:10,673
32:42:25,574
32:42:53,617
32:43:43,684
32:45:11,609
32:49:54,613
32:50:31,643
32:50:57,683
32:51:08,622
32:52:14,608
32:53:20,649
32:53:57,624
32:54:01,636
32:56:09,593
33:00:17,607
33:01:14,600
33:01:31,628
33:02:21,633
33:03:17,582
33:03:32,721
33:03:32,596
33:03:45,594
33:03:58,592
33:04:58,591
33:05:21,755
33:05:26,660
33:05:54,631
33:09:03,753
33:09:20,650
33:10:00,579
33:12:26,586
33:14:41,565
33:15:30,673
33:15:41,572
33:15:42,558
33:16:40,587
33:18:38,593
33:18:51,738
33:19:03,627
33:21:37,701
33:21:45,682
33:22:32,634
33:25:28,664
33:27:14,649
33:28:14,704
33:29:15,767
33:30:05,604
33:30:46,602
33:30:48,662
33:36:15,579
33:37:39,603
33:37:53,596
33:38:47,655
33:39:16,608
33:39:44,635
33:41:05,671
33:41:06,579
33:41:24,735
33:42:07,665
33:42:24,602
33:42:43,745
33:44:58,629
33:50:08,554
33:56:52,652
34:00:16,569
34:00:41,575
34:01:41,618
34:03:43,563
34:06:00,654
34:07:54,644
34:10:43,592
34:11:17,634
34:12:17,630
34:12:30,614
34:13:15,520
34:15:07,626
34:16:31,609
34:16:35,626
34:16:55,661
34:22:07,627
34:22:08,602
34:22:10,642
34:22:10,582
34:22:23,594
34:26:58,641
34:27:20,553
34:28:07,690
34:29:19,587
34:29:30,616
34:34:49,514
34:34:53,578
34:36:56,650
34:38:17,542
34:38:59,615
